,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,emergy
1,0,96,0,0,0,96,0,0,0,0,32,96,0,0,192,0,0,0,0,96,0,0,0,-397.6404
2,24,64,4,18,24,64,0,18,24,4,20,72,20,6,144,20,8,0,8,54,0,8,4,-396.84725
3,24,62,2,18,20,62,2,18,20,2,22,72,22,6,148,22,6,0,10,54,4,10,2,-396.98312
4,24,62,2,18,20,62,2,18,20,2,22,72,22,6,148,22,6,0,10,54,4,10,2,-396.98309
5,20,64,4,24,24,64,0,24,24,4,20,74,20,0,144,20,8,2,8,48,0,8,4,-396.48956
6,24,62,2,24,20,62,2,24,20,2,22,72,22,0,148,22,6,0,10,48,4,10,2,-396.69815
7,20,62,2,24,24,62,2,24,24,2,22,74,22,0,144,22,6,2,10,48,0,10,2,-396.42627
8,24,62,2,18,20,62,2,18,20,2,22,72,22,6,148,22,6,0,10,54,4,10,2,-397.00879
9,24,64,4,24,20,64,0,24,20,4,20,72,20,0,148,20,8,0,8,48,4,8,4,-396.76828
10,24,63,3,24,20,63,1,24,20,3,21,72,21,0,148,21,7,0,9,48,4,9,3,-396.73318
11,24,62,2,18,24,62,2,18,24,2,22,72,22,6,144,22,6,0,10,54,0,10,2,-396.82826
12,24,64,4,18,20,64,0,18,20,4,20,72,20,6,148,20,8,0,8,54,4,8,4,-396.98458
13,20,63,3,24,24,63,1,24,24,3,21,74,21,0,144,21,7,2,9,48,0,9,3,-396.55166
14,24,64,4,18,20,64,0,18,20,4,20,72,20,6,148,20,8,0,8,54,4,8,4,-396.98459
15,24,63,3,18,24,63,1,18,24,3,21,72,21,6,144,21,7,0,9,54,0,9,3,-396.84735
16,24,63,3,24,24,63,1,24,24,3,21,72,21,0,144,21,7,0,9,48,0,9,3,-396.59127
17,24,63,3,18,24,63,1,18,24,3,21,72,21,6,144,21,7,0,9,54,0,9,3,-396.84732
18,20,64,4,18,24,64,0,18,24,4,20,74,20,6,144,20,8,2,8,54,0,8,4,-396.78925
19,24,64,4,24,20,64,0,24,20,4,20,72,20,0,148,20,8,0,8,48,4,8,4,-396.76829
20,24,64,4,24,20,64,0,24,20,4,20,72,20,0,148,20,8,0,8,48,4,8,4,-396.76829
21,32,38,14,24,44,38,2,24,44,14,10,56,34,24,100,34,14,8,10,24,4,10,6,-395.98868
22,40,37,13,30,40,37,3,30,40,13,11,52,35,18,104,35,13,4,11,18,8,11,5,-395.9193
23,40,35,11,24,40,35,5,24,40,11,13,52,37,24,104,37,11,4,13,24,8,13,3,-396.03113
24,40,35,11,24,36,35,5,24,36,11,13,52,37,24,108,37,11,4,13,24,12,13,3,-396.18231
25,40,35,11,24,32,35,5,24,32,11,13,52,37,24,112,37,11,4,13,24,16,13,3,-396.23048
26,44,35,11,30,40,35,5,30,40,11,13,50,37,18,104,37,11,2,13,18,8,13,3,-395.88218
27,32,37,13,30,40,37,3,30,40,13,11,56,35,18,104,35,13,8,11,18,8,11,5,-395.86115
28,44,37,13,24,40,37,3,24,40,13,11,50,35,24,104,35,13,2,11,24,8,11,5,-396.30981
29,36,35,11,24,40,35,5,24,40,11,13,54,37,24,104,37,11,6,13,24,8,13,3,-395.93308
30,32,35,11,24,44,35,5,24,44,11,13,56,37,24,100,37,11,8,13,24,4,13,3,-395.83429
31,40,35,11,30,40,35,5,30,40,11,13,52,37,18,104,37,11,4,13,18,8,13,3,-395.83755
32,40,34,10,24,40,34,6,24,40,10,14,52,38,24,104,38,10,4,14,24,8,14,2,-395.93529
33,32,34,10,24,44,34,6,24,44,10,14,56,38,24,100,38,10,8,14,24,4,14,2,-395.6062
34,40,35,11,24,36,35,5,24,36,11,13,52,37,24,108,37,11,4,13,24,12,13,3,-396.17901
35,44,36,12,24,40,36,4,24,40,12,12,50,36,24,104,36,12,2,12,24,8,12,4,-396.19288
36,44,36,12,24,40,36,4,24,40,12,12,50,36,24,104,36,12,2,12,24,8,12,4,-396.19288
37,36,35,11,24,40,35,5,24,40,11,13,54,37,24,104,37,11,6,13,24,8,13,3,-395.88054
38,40,37,13,24,40,37,3,24,40,13,11,52,35,24,104,35,13,4,11,24,8,11,5,-396.2193
39,40,36,12,24,36,36,4,24,36,12,12,52,36,24,108,36,12,4,12,24,12,12,4,-396.2244
40,40,35,11,30,40,35,5,30,40,11,13,52,37,18,104,37,11,4,13,18,8,13,3,-395.83755
41,44,36,12,24,40,36,4,24,40,12,12,50,36,24,104,36,12,2,12,24,8,12,4,-396.19288
42,48,17,29,18,48,17,7,18,48,29,3,36,43,54,72,43,17,12,7,6,24,7,5,-395.90683
43,48,14,26,18,44,14,10,18,44,26,6,36,46,54,76,46,14,12,10,6,28,10,2,-395.54741
44,52,16,28,24,48,16,8,24,48,28,4,34,44,48,72,44,16,10,8,0,24,8,4,-395.33091
45,40,13,25,18,56,13,11,18,56,25,7,40,47,54,64,47,13,16,11,6,16,11,1,-394.75754
46,48,14,26,18,52,14,10,18,52,26,6,36,46,54,68,46,14,12,10,6,20,10,2,-395.09071
47,40,12,24,18,52,12,12,18,52,24,8,40,48,54,68,48,12,16,12,6,20,12,0,-394.59294
48,52,15,27,24,48,15,9,24,48,27,5,34,45,48,72,45,15,10,9,0,24,9,3,-395.20244
49,56,15,27,24,40,15,9,24,40,27,5,32,45,48,80,45,15,8,9,0,32,9,3,-395.58257
50,52,14,26,18,48,14,10,18,48,26,6,34,46,54,72,46,14,10,10,6,24,10,2,-395.46371
51,44,15,27,18,48,15,9,18,48,27,5,38,45,54,72,45,15,14,9,6,24,9,3,-395.57519
52,48,17,29,18,48,17,7,18,48,29,3,36,43,54,72,43,17,12,7,6,24,7,5,-395.90683
53,40,15,27,24,52,15,9,24,52,27,5,40,45,48,68,45,15,16,9,0,20,9,3,-395.07737
54,44,15,27,18,56,15,9,18,56,27,5,38,45,54,64,45,15,14,9,6,16,9,3,-395.27886
55,48,15,27,24,48,15,9,24,48,27,5,36,45,48,72,45,15,12,9,0,24,9,3,-395.11971
56,56,15,27,24,36,15,9,24,36,27,5,32,45,48,84,45,15,8,9,0,36,9,3,-395.70986
57,44,15,27,18,48,15,9,18,48,27,5,38,45,54,72,45,15,14,9,6,24,9,3,-395.53787
58,52,15,27,18,48,15,9,18,48,27,5,34,45,54,72,45,15,10,9,6,24,9,3,-395.62051
59,36,13,25,18,56,13,11,18,56,25,7,42,47,54,64,47,13,18,11,6,16,11,1,-394.69498
