Spinel,MgFe1,MgFe2,MgFe3,MgFe4,MgFe5,MgFe6,MgFe7,MgFe8,MgFe9,MgFe10,MgFe11,MgAl1,MgAl2,MgAl3,MgAl4,MgAl5,MgAl6,MgAl7,MgAl8,MgAl9,MgAl10,MgAl11,FeAl1,FeAl2,FeAl3,FeAl4,FeAl5,FeAl6,FeAl7,FeAl8,FeAl9,FeAl10,FeAl11,Mg1,Mg2,Mg3,Mg4,Mg5,Mg6,Fe1,Fe2,Fe3,Fe4,Fe5,Fe6,Al1,Al2,Al3,Al4,Al5,Al6,energy
1,46,12,27,24,40,12,9,24,40,27,4,10,3,0,0,4,3,0,0,4,0,1,14,9,0,0,16,9,0,0,16,0,3,0,9,28,8,9,3,18,36,48,40,36,12,0,0,0,4,0,0,-369.41574
2,30,4,35,12,46,4,14,12,46,35,3,10,1,0,0,10,1,0,0,10,0,1,10,11,0,0,14,11,0,0,14,0,3,0,7,28,22,7,0,22,38,72,24,38,11,2,0,0,0,0,0,-368.71634
3,42,13,27,24,40,13,9,24,40,27,3,10,2,0,0,8,2,0,0,8,0,2,14,10,0,0,12,10,0,0,12,0,2,0,9,24,10,9,3,20,35,48,44,35,13,0,0,0,4,0,0,-369.17078
4,40,13,28,18,42,13,8,18,42,28,3,8,3,0,0,10,3,0,0,10,0,1,12,9,0,0,14,9,0,0,14,0,3,6,8,20,12,8,4,22,35,54,40,35,13,2,0,0,0,0,0,-369.34091
5,30,4,35,12,46,4,14,12,46,35,3,10,1,0,0,10,1,0,0,10,0,1,10,11,0,0,14,11,0,0,14,0,3,0,7,28,22,7,0,22,38,72,24,38,11,2,0,0,0,0,0,-368.71634
6,42,4,35,12,42,4,14,12,42,35,3,10,1,0,0,10,1,0,0,10,0,1,14,11,0,0,10,11,0,0,10,0,3,0,7,32,16,7,0,14,38,72,32,38,11,0,0,0,4,0,0,-369.10395
7,42,5,37,12,34,5,12,12,34,37,2,14,2,0,0,10,2,0,0,10,0,0,10,10,0,0,14,10,0,0,14,0,4,0,5,40,14,5,2,16,37,72,36,37,12,0,0,0,0,0,0,-369.36899
8,36,5,37,12,42,5,12,12,42,37,2,8,2,0,0,14,2,0,0,14,0,0,12,10,0,0,10,10,0,0,10,0,4,0,5,28,20,5,2,18,37,72,32,37,12,2,0,0,0,0,0,-369.13583
9,38,5,32,9,50,5,10,9,50,32,3,6,1,4,3,6,1,3,3,6,4,0,6,4,7,9,6,4,1,9,6,7,2,0,6,28,20,6,1,26,36,54,40,36,12,0,1,0,0,1,0,-368.70653
10,46,6,32,12,40,6,10,12,40,32,2,6,0,4,0,4,0,3,0,4,4,1,6,5,7,12,8,5,1,12,8,7,1,0,6,40,16,6,1,22,35,48,48,35,13,0,1,0,0,1,0,-369.02821
11,42,7,34,9,46,7,8,9,46,34,1,6,1,4,3,6,1,3,3,6,4,0,6,4,7,9,6,4,1,9,6,7,2,0,4,32,18,4,3,24,34,54,44,34,14,0,1,0,0,1,0,-369.16876
12,36,5,32,9,52,5,10,9,52,32,3,4,1,4,3,8,1,3,3,8,4,0,8,4,7,9,4,4,1,9,4,7,2,0,6,24,22,6,1,26,36,54,40,36,12,0,1,0,0,1,0,-368.72925
13,34,29,7,12,30,29,1,12,30,7,11,6,7,5,12,6,7,3,12,6,5,1,18,2,16,6,18,2,4,6,18,16,2,24,12,12,4,12,4,34,15,6,72,15,5,0,3,6,0,3,1,-372.65538
14,32,28,6,12,32,28,2,12,32,6,12,8,7,5,18,4,7,3,18,4,5,1,16,2,16,6,20,2,4,6,20,16,2,18,13,12,4,13,3,36,16,6,68,16,4,0,3,0,0,3,1,-372.35185
15,32,30,5,24,32,30,3,24,32,5,10,4,6,7,24,8,6,1,24,8,7,2,16,3,14,0,16,3,6,0,16,14,1,0,12,8,6,12,4,36,16,0,72,16,4,2,3,0,0,3,1,-372.05777
16,22,38,6,15,26,38,0,15,26,6,12,2,12,2,9,10,12,1,9,10,2,3,30,3,7,3,22,3,3,3,22,7,3,36,10,0,6,10,5,34,15,6,72,15,5,2,3,0,4,3,0,-372.69717
17,26,36,4,18,22,36,2,18,22,4,14,6,13,3,6,10,13,0,6,10,3,2,22,4,8,6,22,4,2,6,22,8,2,36,11,4,2,11,4,36,16,0,76,16,4,4,1,0,4,1,2,-372.8394
18,22,37,4,18,24,37,2,18,24,4,13,6,10,1,6,8,10,2,6,8,1,5,18,6,9,6,28,6,1,6,28,9,0,36,13,4,4,13,2,40,14,0,68,14,6,6,2,0,0,2,1,-372.49021
19,28,37,4,15,20,37,2,15,20,4,13,8,11,2,9,8,11,1,9,8,2,4,20,4,7,3,28,4,3,3,28,7,2,36,12,8,0,12,3,36,16,6,72,16,4,4,3,0,0,3,0,-372.80432
20,22,38,6,15,26,38,0,15,26,6,12,2,12,2,9,10,12,1,9,10,2,3,30,3,7,3,22,3,3,3,22,7,3,36,10,0,6,10,5,34,15,6,72,15,5,2,3,0,4,3,0,-372.69717
21,16,49,2,9,18,49,0,9,18,2,17,8,14,1,9,2,14,1,9,2,1,4,24,2,9,3,30,2,2,3,30,9,1,54,9,4,0,9,3,46,8,0,84,8,3,2,2,0,4,2,1,-372.87361
22,22,49,2,9,14,49,0,9,14,2,17,2,14,1,9,6,14,1,9,6,1,4,26,2,9,3,30,2,2,3,30,9,1,54,9,4,0,9,3,42,8,0,88,8,3,4,2,0,0,2,1,-372.88265
23,20,49,1,12,14,49,1,12,14,1,17,4,14,2,12,6,14,0,12,6,2,4,28,2,8,0,22,2,3,0,22,8,1,48,9,4,0,9,3,42,9,0,96,9,2,2,2,0,8,2,1,-372.87067
24,16,49,2,12,20,49,0,12,20,2,17,8,14,1,12,0,14,1,12,0,1,4,24,3,10,0,28,3,1,0,28,10,0,48,9,4,0,9,3,46,7,0,84,7,4,2,1,0,8,1,2,-372.81258
25,14,11,11,18,32,11,9,18,32,11,7,22,11,5,6,16,11,0,6,16,5,4,26,16,4,6,20,16,2,6,20,4,4,12,14,12,12,14,1,16,21,24,20,21,3,6,3,0,24,3,2,-375.82065
26,20,14,14,18,24,14,6,18,24,14,4,28,11,5,6,16,11,0,6,16,5,4,20,14,2,6,28,14,4,6,28,2,6,12,11,20,6,11,4,16,20,24,20,20,4,6,5,0,16,5,0,-376.47737
27,18,11,15,18,28,11,5,18,28,15,7,26,12,2,6,20,12,3,6,20,2,3,22,14,6,6,24,14,0,6,24,6,6,12,13,12,8,13,2,16,19,24,20,19,5,6,4,0,16,4,1,-376.11747
28,24,15,18,18,26,15,2,18,26,18,3,16,13,4,6,22,13,1,6,22,4,2,24,12,3,6,22,12,3,6,22,3,8,12,8,12,10,8,7,12,18,24,24,18,6,10,5,0,16,5,0,-376.74459
29,26,9,17,12,30,9,7,12,30,17,3,22,6,10,6,14,6,2,6,14,10,2,14,11,7,18,26,11,5,18,26,7,5,6,9,28,12,9,3,16,20,18,16,20,4,6,7,0,8,7,1,-376.33414
30,36,8,18,12,24,8,6,12,24,18,4,20,8,10,12,16,8,2,12,16,10,0,12,10,8,12,24,10,4,12,24,8,6,0,8,32,8,8,4,12,20,24,24,20,4,8,6,0,8,6,2,-376.57673
31,22,9,18,18,34,9,6,18,34,18,3,22,5,8,6,14,5,4,6,14,8,3,18,13,10,12,22,13,2,12,22,10,3,0,10,24,14,10,2,16,17,18,16,17,7,4,6,6,12,6,2,-375.80782
32,32,7,19,12,26,7,5,12,26,19,5,16,8,8,6,26,8,4,6,26,8,0,20,10,10,18,14,10,2,18,14,10,6,6,9,20,12,9,3,10,19,18,32,19,5,6,6,0,8,6,2,-376.31111
33,28,7,22,15,28,7,8,15,28,22,3,28,7,4,3,28,7,2,3,28,4,3,24,19,4,9,12,19,1,9,12,4,6,6,10,16,8,10,2,4,19,36,20,19,6,4,4,0,20,4,1,-376.33286
